# Pick And Place List
# eMail=
#
# Project=torso module
# Date=03:02:51
# CreatedBy=Fritzing 1.0.6.2025-10-07.1.0.5rc1-97-g04e5bb02
#
# Coordinates in mils, always center of component
# Origin 0/0=Lower left corner of PCB. Rotation in degree (0-360, math. pos.)
RefDes,Description,Package,X,Y,Rotation,Side,Mount
Description: resistance;capacitance;inductance;voltage;current;power;mpn;mn;
Via2,";;;;;;;;","",652.659,503.783,0,Top,MANUAL
Via3,";;;;;;;;","",1751.03,704.138,0,Top,MANUAL
Via1,";;;;;;;;","",1654.49,901.805,0,Top,MANUAL
A1,";;;;;;;;","",1552.16,1839.15,180,Top,MANUAL
U3,";;;;;;;;","THT",1302.66,303.779,-90,Top,THT
U2,";;;;;;;;","THT",302.663,1803.78,90,Top,THT
J9,";;;;;;;;","THT",252.663,2003.78,-90,Top,THT
J8,";;;;;;;;","THT",252.663,2103.78,-90,Top,THT
J7,";;;;;;;;","THT",252.663,2203.78,-90,Top,THT
POWER,";;;;;;;;","THT",309.754,2604.53,180,Top,THT
I2c,";;;;;;;;","THT",2652.66,803.779,0,Top,THT
U1,";;;;;;;;","THT",2652.66,1303.78,0,Top,THT
J4,";;;;;;;;","THT",2652.66,1803.78,-90,Top,THT
J5,";;;;;;;;","THT",2652.66,1903.78,-90,Top,THT
